id,user,lat,long,tags,title,date_taken_minute,date_taken_hour,date_taken_day,date_taken_month,date_taken_year,date_key
5442481590,13453036@N02,45.773233,4.854969,"lyon,greenhouse,serre,têtedor,parcdelatêtedor,paysageurbain",Les grandes serres de la Tête d'Or,10.0,16,30,5,2010,2010-5-30
5441850737,13453036@N02,45.773405,4.856686,"lyon,greenhouse,serre,têtedor,parcdelatêtedor",Au milieu de la serre,38.0,15,30,5,2010,2010-5-30
5456036622,13453036@N02,45.775167,4.851011,"france,bird,animal,animals,square,mammal,lyon,pigeon,deer,beast,fallowdeer,animaux,oiseau,dama,carré,mammifère,daim,têtedor,columba,parcdelatêtedor,damadama,bête",Le Daim et le Pigeon,14.0,15,30,5,2010,2010-5-30
5456042092,13453036@N02,45.777333,4.852609,"france,animal,animals,mammal,zoo,cow,cows,lyon,giraffes,beast,animaux,vache,giraffa,vaches,girafe,mammifère,watusi,girafes,têtedor,ankole,giraffacamelopardalis,parcdelatêtedor,bête,bostaurus,mammifères,watusis,giraferie",Devant la Giraferie (2),19.0,16,30,5,2010,2010-5-30
5084309036,13453036@N02,45.777333,4.852609,"france,animal,animals,mammal,zoo,lyon,giraffes,beast,giraffe,animaux,girafe,mammifère,girafes,têtedor,giraffacamelopardalis,parcdelatêtedor,bête,urbangiraffe,mammifères,urbangiraffes,girafeurbaine,girafesurbaines",Girafes urbaines,54.0,13,29,8,2010,2010-8-29
6105601667,13453036@N02,45.756677,4.840142,"game,france,lyon,baduk,go,igo,games,rhône,poker,jeu,weiqi,jeux,guillotière,tousenjeux",Tous en Jeux - go,47.0,10,5,9,2010,2010-9-5
6106149496,13453036@N02,45.756999,4.84025,"game,france,lyon,games,rhône,checkers,jeu,dames,jeux,tousenjeux,ledamiervilleurbannais",Tous en Jeux - dames,47.0,10,5,9,2010,2010-9-5
6106152988,13453036@N02,45.757321,4.840325,"game,france,lyon,chess,games,rhône,echecs,jeu,échecs,jeux,paysageurbain,tousenjeux",Tous en Jeux - échecs,47.0,10,5,9,2010,2010-9-5
6105611375,13453036@N02,45.757669,4.840164,"game,france,square,lyon,chess,games,rhône,echecs,jeu,échecs,carré,jeux,tousenjeux",Tous en Jeux  - échecs (2),50.0,10,5,9,2010,2010-9-5
6106159504,13453036@N02,45.758002,4.840185,"game,france,lyon,chess,games,rhône,echecs,jeu,échecs,jeux,guillotière,giantchessgame,tousenjeux,échecsgéants,jeudéchecsgéant",Tous en Jeux - échecs géants,52.0,10,5,9,2010,2010-9-5
6144433822,13453036@N02,45.762194,4.823749,"winter,france,landscape,grey,gris,lyon,hiver,january,rhône,69,paysage,janvier,paysageurbain",Grisaille Lyonnaise (2),1.0,12,12,1,2011,2011-1-12
6143877495,13453036@N02,45.778403,4.84364,"winter,france,reflection,reflections,landscape,lyon,hiver,rhône,reflet,69,paysage,janvier,reflets,cuire,caluire,paysageurbain,caluireetcuire",Le Rhône à Caluire (2),30.0,10,12,1,2011,2011-1-12
5930085413,13453036@N02,45.759926,4.840732,"france,reflection,reflections,landscape,lyon,rhône,reflet,paysage,reflets,hôteldieu,lemistral,paysageurbain,quaiaugagneur,qboat,hospicescivils,quaivictoraugagneur,ly1309",Q-boat et Hospices Civils,52.0,10,18,1,2011,2011-1-18
5930645680,13453036@N02,45.759978,4.840239,"qboat,lemistral,ly1309,lyon,france,rhône,quaiaugagneur,quaivictoraugagneur,reflet,reflets,reflections,reflection,paysageurbain,pont,bridge,bateau,boat",Q-boat Le Mistral,51.0,10,18,1,2011,2011-1-18
6107038353,13453036@N02,45.761482,4.829843,"morning,bridge,winter,france,reflection,reflections,landscape,grey,gris,lyon,hiver,january,reflet,pont,paysage,janvier,reflets,matin,grisaille,saône,paysageurbain",Grisaille Lyonnaise,37.0,10,18,1,2011,2011-1-18
5366742271,13453036@N02,45.766916,4.815691,"classicalarchitecture,architectureclassique,saône,lyon,rhône,janvier,rivière,croixrousse,reflet,reflection,tordu,bent,river,france,panorama,reflets,reflections,paysageurbain",Saône Distordue,17.0,10,18,1,2011,2011-1-18
5366747289,13453036@N02,45.767309,4.822536,"classicalarchitecture,architectureclassique,saône,lyon,rhône,janvier,rivière,reflet,reflection,river,france,saule,willow,reflets,reflections,paysageurbain",Saône vénitienne (1),25.0,10,18,1,2011,2011-1-18
6107036363,13453036@N02,45.767388,4.823405,"morning,winter,france,reflection,reflections,landscape,lyon,hiver,january,reflet,willow,paysage,janvier,reflets,matin,saule,saône,paysageurbain",Saône et Saule,26.0,10,18,1,2011,2011-1-18
5366751457,13453036@N02,45.767421,4.824317,"classicalarchitecture,architectureclassique,saône,lyon,rhône,janvier,rivière,reflet,reflection,river,france,reflets,reflections,paysageurbain",Saône vénitienne (2),29.0,10,18,1,2011,2011-1-18
5366757177,13453036@N02,45.774819,4.810069,"morning,bridge,blackandwhite,france,reflection,reflections,river,grey,gris,lyon,noiretblanc,rhône,rivière,reflet,pont,janvier,reflets,argent,matin,fourvière,saône,paysageurbain",Saône d'Argent,3.0,10,18,1,2011,2011-1-18
5366761331,13453036@N02,45.779009,4.841644,"morning,bridge,blue,france,reflection,reflections,river,woods,lyon,rhône,rivière,bleu,reflet,pont,blau,janvier,reflets,bois,matin,fleuve,paysageurbain",An der schönen blauen Rhône,12.0,9,18,1,2011,2011-1-18
6107017519,13453036@N02,45.779915,4.85527,"trees,france,landscape,lyon,january,arbres,paysage,janvier,parc,têtedor,parcdelatêtedor",Arbres dénudés,2.0,9,18,1,2011,2011-1-18
6107559160,13453036@N02,45.780124,4.855849,"trees,france,reflection,reflections,landscape,woods,lyon,january,reflet,arbres,paysage,janvier,parc,reflets,bois,têtedor,parcdelatêtedor",Brume de Janvier,57.0,8,18,1,2011,2011-1-18
5388162614,13453036@N02,45.759274,4.829467,"bridge,winter,reflection,reflections,river,lyon,hiver,january,rhône,rivière,reflet,pont,janvier,reflets,croixrousse,saône,paysageurbain",Lumière sur la colline,23.0,11,20,1,2011,2011-1-20
6145181296,13453036@N02,45.77999,4.848854,"winter,france,reflection,reflections,landscape,lyon,hiver,january,rhône,reflet,69,paysage,janvier,reflets,parcdelatêtedor",L'Hiver au Parc,22.0,9,20,1,2011,2011-1-20
6145172974,13453036@N02,45.781905,4.855034,"france,animal,square,lyon,rhône,beast,69,carré,écureuil,squirell,parcdelatêtedor,bête",Petit écurieux,24.0,9,20,1,2011,2011-1-20
6770175425,13453036@N02,45.786069,4.860699,"bridge,reflection,river,lyon,rhône,rivière,reflet,pont,fleuve,villeurbanne,paysageurbain",Sous les ponts de Lyon,26.0,16,23,10,2011,2011-10-23
6790344439,13453036@N02,45.756288,4.840335,"france,reflection,lyon,rhône,reflet,fêtedeslumières,hôteldieu,guillotière,paysageurbain,pontdelaguillotière,fêtedeslumières2011,algueslumineuses",Les Algues Lumineuses (2),59.0,20,10,12,2011,2011-12-10
6493987033,13453036@N02,45.756355,4.83981,"night,lyon,illuminations,vert,rhône,ballons,nuit,fêtedeslumières,2011,guillotière,paysageurbain,fêtedeslumières2011,aérosculpture,algueslumineuses,jeanpierredavid",Les Algues Lumineuses,4.0,21,10,12,2011,2011-12-10
6790352909,13453036@N02,45.756744,4.840507,"france,reflection,lyon,rhône,reflet,fêtedeslumières,guillotière,paysageurbain,fêtedeslumières2011,algueslumineuses",Les Algues Lumineuses (3),6.0,21,10,12,2011,2011-12-10
6493980319,13453036@N02,45.757762,4.833523,"night,lyon,illuminations,nuit,granderoue,bellecour,fêtedeslumières,placebellecour,2011,paysageurbain,fêtedeslumières2011",Bellecour enluminée,14.0,21,10,12,2011,2011-12-10
6494037629,13453036@N02,45.767556,4.833662,"horses,night,cheval,lyon,illuminations,nuit,chevaux,hôteldeville,fêtedeslumières,placedesterreaux,terreaux,2011,muséedesbeauxarts,transenocturne,mariejeannegauthé,fêtedeslumières2011",Aperçu mouvant d'une transe nocturne,20.0,22,10,12,2011,2011-12-10
5456093132,13453036@N02,45.776881,4.854819,"france,bird,birds,animal,flamingoes,zoo,lyon,flamingo,beast,greaterflamingo,phoenicopterusroseus,oiseau,oiseaux,têtedor,flamant,phoenicopterus,parcdelatêtedor,flamantrose,bête,flamants,flamantsroses,greaterflamingoes",Flamants (1),52.0,14,11,2,2011,2011-2-11
5929633791,13453036@N02,45.778134,4.857491,"blackandwhite,en,white,black,colors,animal,animals,square,mammal,monkey,noir,lyon,noiretblanc,couleurs,beast,monkeys,animaux,blanc,carré,gibbon,singe,mammifère,singes,gibbons,agilis,hylobates,parcdelatêtedor,bête,mammifères,gueunon,gibbonagile,gibbonsagiles,zoohylobates",Gibbons,13.0,15,13,2,2011,2011-2-13
5600127963,13453036@N02,45.762777,4.822869,"france,alpes,square,landscape,lyon,rhône,paysage,montblanc,carré,fourvière,partdieu,paysageurbain",Part-Dieu et Mont Blanc,53.0,13,7,4,2011,2011-4-7
5600714798,13453036@N02,45.763226,4.819275,"france,square,lyon,rhône,printemps,cerisier,carré,fourvière,cerisierenfleur",Printemps Lyonnais (3),8.0,14,7,4,2011,2011-4-7
5727031142,13453036@N02,45.784225,4.851086,"france,lyon,carré,paysageurbain,citéinternationale",Cité internationale 2,21.0,13,8,5,2011,2011-5-8
5727024950,13453036@N02,45.784494,4.851429,"france,lyon,paysageurbain,citéinternationale",Cité internationale 1,20.0,13,8,5,2011,2011-5-8
5727057584,13453036@N02,45.784561,4.852094,"france,truck,mercedes,lyon,camion,erwinwurm,paysageurbain,citéinternationale,muséedartcontemporaindelyon",Pratique,25.0,13,8,5,2011,2011-5-8
5727044940,13453036@N02,45.784853,4.85145,"france,reflection,reflections,landscape,lyon,reflet,paysage,reflets,carré,paysageurbain,citéinternationale",Cité internationale 4,23.0,13,8,5,2011,2011-5-8
5839365475,13453036@N02,45.778261,4.870183,"moon,france,lune,square,eclipse,lyon,carré,mooneclipse,villeurbanne,éclipse,éclipsedelune",Sortie de l'Eclipse,21.0,23,15,6,2011,2011-6-15
5839365155,13453036@N02,45.778343,4.87794,"moon,france,lune,square,eclipse,lyon,carré,mooneclipse,villeurbanne,éclipse,éclipsedelune",Fin de l'Eclipse,59.0,23,15,6,2011,2011-6-15
5929520849,13453036@N02,45.765839,4.879517,"france,lyon,townhall,artdeco,suburb,mairie,hôteldeville,banlieue,artdéco,années30,villeurbanne,gratteciel,citéouvrière,paysageurbain,gratteciels,môriceleroux,lazaregoujon,robertgiroud,stylemonumental",Hôtel de Ville de Villeurbanne (2),32.0,15,19,6,2011,2011-6-19
5929518207,13453036@N02,45.766175,4.880139,"france,lyon,townhall,artdeco,suburb,mairie,hôteldeville,banlieue,artdéco,années30,villeurbanne,gratteciel,citéouvrière,paysageurbain,gratteciels,môriceleroux,lazaregoujon,robertgiroud,stylemonumental",Hôtel de Ville de Villeurbanne (1),26.0,15,19,6,2011,2011-6-19
5929316017,13453036@N02,45.769543,4.879689,"france,skyscrapers,lyon,rhône,artdeco,ville,artdéco,années30,villeurbanne,gratteciel,citéouvrière,paysageurbain,gratteciels,môriceleroux,stylemonumental",Les Gratte-Ciel de Villeurbanne,19.0,15,19,6,2011,2011-6-19
5794650652,13453036@N02,45.754502,4.812322,"china,france,university,lyon,rhône,revolution,histoire,révolution,chine,alix,crous,institutfrancochinois",Institut Franco-Chinois,28.0,15,2,6,2011,2011-6-2
6058729970,13453036@N02,45.777984,4.872205,"france,tower,landscape,factory,tour,lyon,rhône,crayon,paysage,usine,sheds,cheminée,villeurbanne,partdieu,créditlyonnais,paysageurbain",Labeur et Phynance,23.0,11,30,6,2011,2011-6-30
8533472245,13453036@N02,45.777356,4.855935,"france,zoo,lyon,zebra,zebras,zèbre,plaineafricaine,parcdelatêtedor,zèbres,equuszebra,zèbredehartmann,equuszebrahartmannae,zèbredesmontagnes,zèbresdehartmann,zèbresdesmontagnes",Zèbres de Hartmann (1),17.0,15,28,8,2011,2011-8-28
8122512076,13453036@N02,45.754281,4.86676,"france,dan,lyon,baduk,go,weiqi,gameofgo,jeudego,benjaminpapazoglou,tournoidegodelyon2012,sébastienkoch",Sébastien Koch vs Benjamin Papazoglou,7.0,20,13,10,2012,2012-10-13
8099524842,13453036@N02,45.754281,4.86676,"dan,baduk,go,weiqi,gameofgo,jeudego,benjaminpapazoglou,antoinebranchard,revuefrançaisedego,tournoidegodelyon2012",Finale du Tournoi de Lyon 2012,39.0,14,14,10,2012,2012-10-14
8503099641,13453036@N02,45.787502,4.872093,"blue,france,river,cormorants,lyon,rhône,rivière,bleu,cormorant,fleuve,cormoran,villeurbanne,cormorans",Cormorans sur le Rhône,34.0,15,5,10,2012,2012-10-5
14581195579,13453036@N02,45.77309,4.854691,"france,lyon,greenhouse,serre,parcdelatêtedor,strelitziareginae,grandesserres,oiseaudeparadis,têtedorpark",Strelitzia Reginae,18.0,17,19,11,2012,2012-11-19
14147042695,13453036@N02,45.773405,4.856686,"cactus,france,lyon,greenhouse,serre,têtedor,parcdelatêtedor,neobuxbaumiapolylopha,serredemadagascarduparcdelatêtedor",Cactus hirsute,39.0,16,19,11,2012,2012-11-19
14581143030,13453036@N02,45.773517,4.854186,"parcdelatêtedor,têtedorpark,lyon,france,serre,greenhouse,grandesserres,novembre,november,artnouveau",Les Grandes Serres au Couchant,24.0,17,19,11,2012,2012-11-19
9797024965,13453036@N02,45.776881,4.854819,"november,autumn,france,automne,novembre,lyon,zebra,mountainzebra,têtedor,zèbre,parcdelatêtedor,equuszebra,hartmannsmountainzebra,zèbredehartmann,equuszebrahartmannae,têtedorpark,zèbredemontagne,zèbredemontagnedehartmann",Un Zèbre en Automne,36.0,17,19,11,2012,2012-11-19
14744933926,13453036@N02,45.777356,4.855935,"november,france,zoo,novembre,lyon,zebra,zèbre,plaineafricaine,parcdelatêtedor,equuszebra,zèbredehartmann,equuszebrahartmannae,têtedorpark",Zèbre et Zèbrerie,42.0,17,19,11,2012,2012-11-19
14767808022,13453036@N02,45.770958,4.831538,"france,lyon,croixrousse,montéedelagrandecôte",Descente de la Grande Côte,46.0,11,21,11,2012,2012-11-21
14581484828,13453036@N02,45.772499,4.83172,"france,lyon,croixrousse",Un escalier de la Croix-Rousse,41.0,11,21,11,2012,2012-11-21
9797084006,13453036@N02,45.778748,4.842567,"november,autumn,panorama,france,automne,river,landscape,haze,novembre,lyon,rhône,rivière,paysage,brume,fleuve,caluire,stitchedpanorama",Panorama du Rhône à Caluire,12.0,12,21,11,2012,2012-11-21
9797100576,13453036@N02,45.783297,4.855527,"november,autumn,lake,france,pool,automne,landscape,haze,novembre,lyon,lac,paysage,brume,étang,têtedor,parcdelatêtedor,têtedorpark",Le Lac de la Tête d'Or,55.0,10,21,11,2012,2012-11-21
8381522638,13453036@N02,45.774078,4.854218,"snow,france,lyon,deer,neige,fallowdeer,daims,deers,daim,têtedor,harde,parcdelatêtedor,damadama,fallowdeers",Le Parc sous la Neige,49.0,12,2,12,2012,2012-12-2
14581474258,13453036@N02,45.774617,4.852566,"snow,france,lyon,neige,fallowdeer,daim,têtedor,parcdelatêtedor,damadama,têtedorpark",Un Daim sous la Neige (2),54.0,12,2,12,2012,2012-12-2
8380543045,13453036@N02,45.775167,4.851011,"snow,france,lyon,deer,neige,fallowdeer,daims,deers,daim,têtedor,harde,parcdelatêtedor,damadama,fallowdeers",Daims sous la Neige,52.0,12,2,12,2012,2012-12-2
8380486463,13453036@N02,45.775579,4.853006,"snow,france,lyon,deer,neige,fallowdeer,daims,deers,daim,têtedor,harde,parcdelatêtedor,damadama,fallowdeers",Daims sous la Neige (2),5.0,13,2,12,2012,2012-12-2
6915961932,13453036@N02,45.776881,4.854819,"france,reflection,heron,zoo,lyon,reflet,ardeacinerea,héron,greyheron,têtedor,parcdelatêtedor,héroncendré",Le Héron et son reflet (2),44.0,12,1,3,2012,2012-3-1
7064359017,13453036@N02,45.756999,4.847277,"lyon,baduk,go,igo,difficult,weiqi,complicated,tsumego,difficile,compliqué,jeudego,semeai,goclublyonshinogi,clubshinogi",Tsumego,4.0,19,10,3,2012,2012-3-10
7080590027,13453036@N02,45.754341,4.811679,"france,lyon,stjust,stirénée,paysageurbain,saintirénée,saintjust,églisesaintirénée,fortstirénée,institutfrancochinois,fortsaintirénée,institutfrancochinoisdelyon,résidencealix",Fort Saint-Irénée (4),56.0,15,13,3,2012,2012-3-13
6934500562,13453036@N02,45.75451,4.811325,"france,lyon,stjust,stirénée,paysageurbain,saintirénée,saintjust,églisesaintirénée,fortstirénée,institutfrancochinois,fortsaintirénée,institutfrancochinoisdelyon,résidencealix",Fort Saint-Irénée (3),53.0,15,13,3,2012,2012-3-13
6934510648,13453036@N02,45.754622,4.810895,"bridge,france,ruins,lyon,roman,ruin,aqueduct,ruine,pont,romain,piles,aqueduc,ruines,stjust,romanruins,romanaqueduct,stirénée,ruinesromaines,paysageurbain,saintirénée,saintjust,aqueducromain,aqueducdugier,fortstirénée,institutfrancochinois,fortsaintirénée,institutfrancochinoisdelyon,résidencealix,aqueductofthegier",Piles usagées (3),54.0,15,13,3,2012,2012-3-13
7080554447,13453036@N02,45.754686,4.811936,"bridge,france,ruins,lyon,roman,ruin,aqueduct,ruine,pont,romain,piles,aqueduc,ruines,stjust,romanruins,romanaqueduct,stirénée,ruinesromaines,paysageurbain,saintirénée,saintjust,aqueducromain,aqueducdugier,fortstirénée,institutfrancochinois,fortsaintirénée,institutfrancochinoisdelyon,résidencealix,aqueductofthegier",Fort Saint-Irénée (1),49.0,15,13,3,2012,2012-3-13
6934494876,13453036@N02,45.754862,4.811486,"bridge,france,ruins,lyon,roman,ruin,aqueduct,ruine,pont,romain,piles,aqueduc,ruines,stjust,romanruins,romanaqueduct,ruinesromaines,paysageurbain,saintjust,aqueducromain,aqueducdugier,aqueductofthegier",Piles usagées (1),50.0,15,13,3,2012,2012-3-13
